,Timestamp,Verified Water Level
0,2021/12/20 00:00,0.76
1,2021/12/20 00:06,0.8
2,2021/12/20 00:12,0.85
3,2021/12/20 00:18,0.88
4,2021/12/20 00:24,0.96
5,2021/12/20 00:30,1.02
6,2021/12/20 00:36,1.1
7,2021/12/20 00:42,1.1
8,2021/12/20 00:48,1.21
9,2021/12/20 00:54,1.21
10,2021/12/20 01:00,1.25
11,2021/12/20 01:06,1.26
12,2021/12/20 01:12,1.26
13,2021/12/20 01:18,1.27
14,2021/12/20 01:24,1.34
15,2021/12/20 01:30,1.38
16,2021/12/20 01:36,1.41
17,2021/12/20 01:42,1.39
18,2021/12/20 01:48,1.38
19,2021/12/20 01:54,1.34
20,2021/12/20 02:00,1.38
21,2021/12/20 02:06,1.35
22,2021/12/20 02:12,1.36
23,2021/12/20 02:18,1.39
24,2021/12/20 02:24,1.4
25,2021/12/20 02:30,1.36
26,2021/12/20 02:36,1.29
27,2021/12/20 02:42,1.31
28,2021/12/20 02:48,1.26
29,2021/12/20 02:54,1.24
30,2021/12/20 03:00,1.23
31,2021/12/20 03:06,1.23
32,2021/12/20 03:12,1.16
33,2021/12/20 03:18,1.14
34,2021/12/20 03:24,1.03
35,2021/12/20 03:30,0.97
36,2021/12/20 03:36,0.96
37,2021/12/20 03:42,0.86
38,2021/12/20 03:48,0.87
39,2021/12/20 03:54,0.8
40,2021/12/20 04:00,0.74
41,2021/12/20 04:06,0.69
42,2021/12/20 04:12,0.59
43,2021/12/20 04:18,0.55
44,2021/12/20 04:24,0.48
45,2021/12/20 04:30,0.45
46,2021/12/20 04:36,0.33
47,2021/12/20 04:42,0.24
48,2021/12/20 04:48,0.15
49,2021/12/20 04:54,0.03
50,2021/12/20 05:00,-0.03
51,2021/12/20 05:06,-0.05
52,2021/12/20 05:12,-0.15
53,2021/12/20 05:18,-0.21
54,2021/12/20 05:24,-0.3
55,2021/12/20 05:30,-0.38
56,2021/12/20 05:36,-0.45
57,2021/12/20 05:42,-0.51
58,2021/12/20 05:48,-0.63
59,2021/12/20 05:54,-0.69
60,2021/12/20 06:00,-0.74
61,2021/12/20 06:06,-0.8
62,2021/12/20 06:12,-0.91
63,2021/12/20 06:18,-0.93
64,2021/12/20 06:24,-1.03
65,2021/12/20 06:30,-1.05
66,2021/12/20 06:36,-1.09
67,2021/12/20 06:42,-1.16
68,2021/12/20 06:48,-1.17
69,2021/12/20 06:54,-1.2
70,2021/12/20 07:00,-1.22
71,2021/12/20 07:06,-1.26
72,2021/12/20 07:12,-1.24
73,2021/12/20 07:18,-1.28
74,2021/12/20 07:24,-1.23
75,2021/12/20 07:30,-1.27
76,2021/12/20 07:36,-1.25
77,2021/12/20 07:42,-1.25
78,2021/12/20 07:48,-1.16
79,2021/12/20 07:54,-1.16
80,2021/12/20 08:00,-1.13
81,2021/12/20 08:06,-1.09
82,2021/12/20 08:12,-1.09
83,2021/12/20 08:18,-1.01
84,2021/12/20 08:24,-0.96
85,2021/12/20 08:30,-0.91
86,2021/12/20 08:36,-0.87
87,2021/12/20 08:42,-0.77
88,2021/12/20 08:48,-0.73
89,2021/12/20 08:54,-0.62
90,2021/12/20 09:00,-0.57
91,2021/12/20 09:06,-0.5
92,2021/12/20 09:12,-0.45
93,2021/12/20 09:18,-0.39
94,2021/12/20 09:24,-0.3
95,2021/12/20 09:30,-0.25
96,2021/12/20 09:36,-0.19
97,2021/12/20 09:42,-0.06
98,2021/12/20 09:48,0.03
99,2021/12/20 09:54,0.14
100,2021/12/20 10:00,0.19
101,2021/12/20 10:06,0.28
102,2021/12/20 10:12,0.33
103,2021/12/20 10:18,0.45
104,2021/12/20 10:24,0.48
105,2021/12/20 10:30,0.6
106,2021/12/20 10:36,0.65
107,2021/12/20 10:42,0.77
108,2021/12/20 10:48,0.81
109,2021/12/20 10:54,0.93
110,2021/12/20 11:00,0.98
